部分打开_DEFAULT/OFF/ACC/START/INVAILD状态_大屏开启,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏开启信号,蜂鸣器间鸣，尾门打开至设定高度
部分打开_DEFAULT/OFF/ACC/START/INVAILD状态_蓝牙开启,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙开启信号,蜂鸣器间鸣，尾门打开至设定高度
部分打开_invalid状态_大屏开启,"速度无效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏开启信号,蜂鸣器间鸣，尾门打开至设定高度
部分打开_DEFAULT/OFF/ACC/START/INVAILD状态_蓝牙开启,"速度无效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙开启信号,蜂鸣器间鸣，尾门打开至设定高度
部分打开_DEFAULT/OFF/ACC/START/INVAILD状态_大屏开启,"速度有效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏开启信号,蜂鸣器间鸣，尾门打开至设定高度
部分打开_invalid状态_蓝牙开启,"速度有效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙开启信号,蜂鸣器间鸣，尾门打开至设定高度
部分打开_DEFAULT/OFF/ACC/START/INVAILD状态_大屏开启,"速度有效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏开启信号,蜂鸣器间鸣，尾门打开至设定高度
部分打开_DEFAULT/OFF/ACC/START/INVAILD状态_蓝牙开启,"速度有效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙开启信号,蜂鸣器间鸣，尾门打开至设定高度
部分打开_ON状态_大屏开启,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏开启信号,背门无响应
部分打开_ON状态_蓝牙开启,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙开启信号,背门无响应
部分打开_ON状态_大屏开启,"速度无效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏开启信号,背门无响应
部分打开_ON状态_蓝牙开启,"速度无效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙开启信号,背门无响应
部分打开_ON状态_大屏开启,"速度有效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏开启信号,蜂鸣器间鸣，尾门打开至设定高度
部分打开_ON状态_蓝牙开启,"速度有效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙开启信号,蜂鸣器间鸣，尾门打开至设定高度
部分打开_ON状态_大屏开启,"速度有效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏开启信号,背门无响应
部分打开_ON状态_蓝牙开启,"速度有效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙开启信号,背门无响应
