闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_蓝牙关闭,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_背门短按,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门短按信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_大屏关闭,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_蓝牙关闭,"速度无效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_背门短按,"速度无效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门短按信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_大屏关闭,"速度无效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_蓝牙关闭,"速度有效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_背门短按,"速度有效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门短按信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_大屏关闭,"速度有效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_蓝牙关闭,"速度有效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_背门短按,"速度有效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门短按信号,背门无响应
闭锁状态_DEFAULT/OFF/ACC/START/INVAILD状态_大屏关闭,"速度有效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,背门无响应
闭锁状态_ON状态_蓝牙关闭,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,背门无响应
闭锁状态_ON状态_背门短按,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门短按信号,背门无响应
闭锁状态_ON状态_大屏关闭,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,背门无响应
闭锁状态_ON状态_蓝牙关闭,"速度无效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,背门无响应
闭锁状态_ON状态_背门短按,"速度无效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门短按信号,背门无响应
闭锁状态_ON状态_大屏关闭,"速度无效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,背门无响应
闭锁状态_ON状态_蓝牙关闭,"速度有效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,背门无响应
闭锁状态_ON状态_背门短按,"速度有效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门短按信号,背门无响应
闭锁状态_ON状态_大屏关闭,"速度有效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,背门无响应
闭锁状态_ON状态_蓝牙关闭,"速度有效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,背门无响应
闭锁状态_ON状态_背门短按,"速度有效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门短按信号,背门无响应
闭锁状态_ON状态_大屏关闭,"速度有效且大于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,背门无响应
解锁强开区_DEFAULT/OFF/ACC/START/INVAILD状态_蓝牙关闭,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,自吸锁解锁，蜂鸣器间鸣，尾门打开至设定高度
解锁强开区_DEFAULT/OFF/ACC/START/INVAILD状态_背门短按,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门短按信号,自吸锁解锁，蜂鸣器间鸣，尾门打开至设定高度
解锁强开区_DEFAULT/OFF/ACC/START/INVAILD状态_大屏关闭,"速度无效且	小于5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,自吸锁解锁，蜂鸣器间鸣，尾门打开至设定高度
