正在关门_OFF状态_大屏开启,"速度有效:	0km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏开启信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在关门_DEFAULT状态_背门外部开关,"速度无效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门外部开关信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在关门_invalid状态_背门长按,"速度无效:	2km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门长按信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在关门_ON状态_一次钥匙短按,"速度有效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送一次钥匙短按信号,背门在反转区域运动过程中，切换电源模式/速度不合规，主动停止
正在关门_ACC状态_蓝牙关闭,"速度有效:	5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在关门_START状态_蓝牙开启,"速度无效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙开启信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在关门_invalid_valid状态_大屏关闭,"速度无效:	0km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,背门在反转区域运动过程中，切换电源模式/速度不合规，主动停止
正在关门_invalid状态_大屏停止,"速度有效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏停止信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在关门_DEFAULT状态_脚踢信号,"速度有效:	2km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送脚踢信号信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在关门_START状态_背门短按,"速度有效:	5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门短按信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在开门_OFF状态_蓝牙关闭,"速度无效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在开门_DEFAULT状态_蓝牙开启,"速度有效:	0km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙开启信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在开门_invalid状态_大屏开启,"速度无效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏开启信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在开门_ON状态_大屏停止,"速度无效:	2km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏停止信号,背门在反转区域运动过程中，切换电源模式/速度不合规，主动停止
正在开门_ACC状态_脚踢信号,"速度无效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送脚踢信号信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在开门_START状态_背门长按,"速度有效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门长按信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在开门_invalid_valid状态_大屏关闭,"速度有效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,背门在反转区域运动过程中，切换电源模式/速度不合规，主动停止
正在开门_OFF状态_一次钥匙短按,"速度无效:	5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送一次钥匙短按信号,背门在反转区域运动过程中，电源模式/速度符合要求，响应控制指令停止
正在开门_invalid_valid状态_背门外部开关,"速度有效:	0km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送背门外部开关信号,背门在反转区域运动过程中，切换电源模式/速度不合规，主动停止
